industry,firms,trailing_pe,trailing_ps,yfinance_industry
Software (Entertainment),101,157.38,8.11,Electronic Gaming & Multimedia
Software (Internet),36,67.89,14.85,Internet Content & Information
Software (System & Application),388,148.99,11.40,Software—Application
Software (System & Application),388,148.99,11.40,Software—Infrastructure
Steel,32,35.73,0.70,Steel
Telecom (Wireless),16,24.68,2.46,
Telecom. Equipment,96,50.68,3.29,Communication Equipment
Telecom. Services,58,22.27,1.41,Telecom Services
Tobacco,15,54.62,3.83,Tobacco
Transportation,21,48.61,1.26,
Transportation (Railroads),6,28.55,6.75,Integrated Freight & Logistics
Trucking,35,46.74,2.16,
Utility (General),16,18.73,2.40,Utilities—Regulated Electric
Utility (General),16,18.73,2.40,Utilities—Regulated Gas
Utility (Water),17,62.39,7.04,
Total Market,7582,103.25,2.64,
Total Market (without financials),6253,87.08,2.66,
